Designator,Mid X,Mid Y,Rotation,Layer
C1,78.59,-58.71,0.0,top
C10,81.46,-62.65,0.0,top
C11,81.46,-64.62,0.0,top
C12,81.46,-66.59,0.0,top
C13,81.266666,-81.0,0.0,top
C14,83.19381,-86.75,90.0,top
C15,84.33,-58.71,0.0,top
C16,84.33,-60.68,0.0,top
C17,84.33,-62.65,0.0,top
C18,84.33,-64.62,0.0,top
C19,84.33,-66.59,0.0,top
C2,78.59,-60.68,0.0,top
C20,83.883332,-81.0,0.0,top
C21,80.32381,-86.75,0.0,bottom
C22,87.2,-58.71,0.0,top
C23,87.2,-60.68,0.0,top
C24,87.2,-62.65,0.0,top
C25,87.2,-64.62,0.0,top
C26,87.2,-66.59,0.0,top
C27,86.5,-81.0,0.0,top
C28,78.67381,-86.75,0.0,bottom
C29,90.07,-58.71,0.0,top
C3,78.59,-62.65,0.0,top
C30,90.07,-60.68,0.0,top
C31,90.07,-62.65,0.0,top
C32,90.07,-64.62,0.0,top
C33,90.07,-66.59,0.0,top
C4,78.59,-64.62,0.0,top
C5,78.59,-66.59,0.0,top
C6,78.65,-81.0,0.0,top
C7,86.52381,-86.75,0.0,bottom
C8,81.46,-58.71,0.0,top
C9,81.46,-60.68,0.0,top
J1,58.74,-31.859338,0.0,top
OUTPUT1,51.805,-52.4,0.0,top
R1,60.872,-47.802,0.0,top
R10,65.526,-53.91,0.0,top
R11,65.526,-56.964,0.0,top
R12,65.526,-60.018,0.0,top
R13,65.526,-63.072,0.0,top
R14,65.526,-66.126,0.0,top
R15,70.18,-47.802,0.0,top
R16,70.18,-50.856,0.0,top
R17,70.18,-53.91,0.0,top
R18,70.18,-56.964,0.0,top
R19,70.18,-60.018,0.0,top
R2,60.872,-50.856,0.0,top
R20,70.18,-63.072,0.0,top
R21,70.18,-66.126,0.0,top
R22,74.834,-47.802,0.0,top
R23,74.834,-50.856,0.0,top
R24,74.834,-53.91,0.0,top
R3,60.872,-53.91,0.0,top
R4,60.872,-56.964,0.0,top
R5,60.872,-60.018,0.0,top
R6,60.872,-63.072,0.0,top
R7,60.872,-66.126,0.0,top
R8,65.526,-47.802,0.0,top
R9,65.526,-50.856,0.0,top
RK1,74.834,-56.964,0.0,top
RK2,74.834,-60.018,0.0,top
RK3,74.834,-63.072,0.0,top
U1,82.0,-52.0,0.0,top
U2,91.08,-52.0,0.0,top
U3,102.35,-74.805,0.0,top
