Designator,Mid X,Mid Y,Rotation,Layer
A1,171.0,-67.0,180.0,top
C1,153.865,-38.7,270.0,top
C2,153.865,-46.32,270.0,top
C22,167.0,-65.95,90.0,top
C23,182.0,-64.7,270.0,top
C24,167.0,-53.0,270.0,top
C25,163.0,-53.0,90.0,top
C3,153.865,-53.94,270.0,top
C34,142.459,-30.775,90.0,top
C35,153.0,-24.375,270.0,top
C36,153.0,-32.0,90.0,top
C4,196.0,-40.0,270.0,top
D2,146.0,-24.0,0.0,top
D4,164.0,-66.0,270.0,top
IC1,146.0,-41.38,0.0,top
IC2,146.0,-49.0,0.0,top
IC3,146.0,-56.62,0.0,top
J1,127.71,-36.125,0.0,bottom
J14,170.0,-24.8,0.0,top
J15,170.0,-34.0,0.0,top
J17,130.0,-25.0,0.0,top
J3,140.716,-63.307,90.0,top
J4,172.0,-40.46,0.0,top
J5,159.75,-27.71,90.0,top
J6,210.0,-25.0,0.0,top
J7,210.0,-65.0,0.0,top
L2,138.0,-30.0,270.0,top
R1,137.038,-40.491,180.0,top
R10,162.4125,-23.5,180.0,top
R11,162.4125,-34.0,180.0,top
R2,137.038,-42.269,180.0,top
R4,137.038,-48.111,180.0,top
R5,137.038,-49.889,180.0,top
R8,137.038,-55.731,180.0,top
R9,137.038,-57.509,180.0,top
U2,146.523,-31.0,90.0,top
