Designator,Mid X,Mid Y,Rotation,Layer
A1,119.82,-122.5,180.0,top
C1,102.685,-94.2,270.0,top
C2,102.685,-101.82,270.0,top
C22,115.82,-121.45,90.0,top
C23,130.82,-120.2,270.0,top
C24,115.82,-108.5,270.0,top
C25,111.82,-108.5,90.0,top
C3,102.685,-109.44,270.0,top
C34,91.279,-86.275,90.0,top
C35,101.82,-79.875,270.0,top
C36,101.82,-87.5,90.0,top
C4,156.04,-95.8,270.0,top
D2,94.82,-79.5,0.0,top
D4,112.82,-121.5,270.0,top
IC1,94.82,-96.88,0.0,top
IC2,94.82,-104.5,0.0,top
IC3,94.82,-112.12,0.0,top
J1,76.53,-91.625,0.0,bottom
J14,118.82,-80.3,0.0,top
J15,118.82,-89.5,0.0,top
J17,78.82,-80.5,0.0,top
J3,89.536,-118.807,90.0,top
J4,120.82,-95.96,0.0,top
J5,108.57,-83.21,90.0,top
J6,168.82,-80.5,0.0,top
J7,168.82,-120.5,0.0,top
L2,86.82,-85.5,270.0,top
R1,85.858,-95.991,180.0,top
R10,111.2325,-79.0,180.0,top
R11,111.2325,-89.5,180.0,top
R2,85.858,-97.769,180.0,top
R4,85.858,-103.611,180.0,top
R5,85.858,-105.389,180.0,top
R8,85.858,-111.231,180.0,top
R9,85.858,-113.009,180.0,top
U2,95.343,-86.5,90.0,top
